number,type,name,Lng,Lat
106,跨区常规公交线路,东社站点,118.0024892,24.52921846
107,岛内常规公交线路,东芳山庄站点,118.1415262,24.48224034
108,轨道交通线路,两岸金融中心[地铁]站点,118.1901597,24.49226097
109,岛内常规公交线路,中医院分院站点,118.1305476,24.50120259
110,跨区常规公交线路,中医院站点,118.1445248,24.73760089
111,岛内常规公交线路,中华儿女美术馆站点,118.082218,24.43940798
112,差异化公交线路,中华城站点,118.0780906,24.45487838
113,空港快线,中埔站点,118.1135741,24.54118249
114,跨区常规公交线路,中孚花园站点,118.1420294,24.49485911
115,轨道交通线路,中山公园[地铁]站点,118.0852164,24.46188099
116,差异化公交线路,中山公园站点,118.0852164,24.46188099
117,差异化公交线路,中山路站点,118.0783054,24.45663556
118,漳州城际公交线路,中沧公路站站点,118.0053239,24.49137391
119,定制公交线路,中科院站点,118.0585029,24.61050246
120,跨区常规公交线路,中航城站点,118.0439311,24.59698052
121,跨区常规公交线路,中航紫金广场2站点,118.1874795,24.47880628
122,岛内常规公交线路,中航紫金广场站点,118.1874795,24.47880628
123,跨区常规公交线路,中骏四季阳光站点,118.0586755,24.64101792
124,跨区常规公交线路,临港新城站点,117.9813476,24.48026159
125,跨区常规公交线路,乌涂站点,118.1192852,24.71382997
126,轨道交通线路,乌石浦[地铁]站点,118.121462,24.50146331
127,岛内常规公交线路,乌石浦小学站点,118.1234079,24.50751736
128,岛内常规公交线路,乌石浦油画村总站站点,118.1241361,24.50863537
129,跨区常规公交线路,乌石浦油画村站点,118.1241361,24.50863537
130,跨区常规公交线路,乐活小镇站点,117.9790473,24.60225293
131,跨区常规公交线路,乐海公交场站站点,118.0675802,24.4667071
132,跨区常规公交线路,乐海百货站点,118.1311058,24.72315992
133,岛内常规公交线路,九中站点,118.103799,24.4669509
134,跨区常规公交线路,九溪小区站点,118.2521042,24.6099446
,,,,
136,跨区常规公交线路,二农坂头站点,118.0348731,24.65327637
137,跨区常规公交线路,二农工业区站点,118.015233,24.6395486
,,,,
,,,,
140,岛内常规公交线路,云海山庄站点,118.1625126,24.45599328
141,岛内常规公交线路,云顶南路茂后站点,118.1459029,24.4584276
142,岛内常规公交线路,云顶岩路站点,118.1410278,24.47282298
143,岛内常规公交线路,五一广场站点,118.106701,24.49357868
144,跨区常规公交线路,五显公交场站站点,118.1662688,24.7541553
145,跨区常规公交线路,五显大溪站点,118.1662688,24.7541553
146,跨区常规公交线路,五显赵厝站点,118.1662688,24.7541553
147,跨区常规公交线路,五显镇政府站点,118.1590032,24.74567526
148,跨区常规公交线路,五秀路站点,118.1664332,24.75524952
149,跨区常规公交线路,五缘学村站点,118.1566329,24.54056053
150,岛内常规公交线路,五缘水乡站点,118.1687753,24.51323011
,,,,
152,岛内常规公交线路,五缘湾公交场站站点,118.1799918,24.53298338
153,定制公交线路,五缘湾商务区站点,118.1611797,24.52102879
154,跨区常规公交线路,五缘湾消防站点,118.1628879,24.52144805
155,岛内常规公交线路,五缘湾营运中心站点,118.1807579,24.52981842
156,跨区常规公交线路,五缘湾西公交场站站点,118.1528457,24.52597899
157,岛内常规公交线路,五缘湾运动馆站点,118.1824149,24.52934336
158,岛内常规公交线路,五缘第二实验学校站点,118.1554452,24.52411951
159,定制公交线路,五缘西一路口站点,118.1589691,24.52185776
160,岛内常规公交线路,五缘西一里站点,118.1605074,24.54276496
161,岛内常规公交线路,五缘西三里站点,118.1576583,24.54295267
162,岛内常规公交线路,五缘西二里站点,118.1588457,24.52256961
163,岛内常规公交线路,五缘西五里站点,118.1535271,24.54299809
164,轨道交通线路,五通[地铁]站点,118.1834542,24.51745879
165,岛内常规公交线路,五通东宅站点,118.1834542,24.51745879
166,岛内常规公交线路,五通二里站点,118.1876126,24.50991312
167,岛内常规公交线路,五通会展中心站点,118.1874298,24.5292552
168,空港快线,五通客运码头站点,118.0668173,24.46055389
169,岛内常规公交线路,五通小区站点,118.1877078,24.50964225
170,岛内常规公交线路,五通泥金公交场站站点,118.1834542,24.51745879
171,岛内常规公交线路,五通港三路口站点,118.1834542,24.51745879
172,跨区常规公交线路,井头路口[暂停]站点,118.1981814,24.63302452
173,跨区常规公交线路,京口站点,118.0291252,24.45610283
,,,,
175,跨区常规公交线路,亭洋站点,118.2202007,24.64760587
,,,,
177,轨道交通线路,人才中心[地铁]站点,118.0973138,24.49223395
178,跨区常规公交线路,人才中心站点,118.0973138,24.49223395
179,漳州城际公交线路,人民银行站点,118.135313,24.7285737
180,漳州城际公交线路,仁和路口站点,118.1763012,24.46984867
181,跨区常规公交线路,仑头南站点,118.2262159,24.68500429
182,跨区常规公交线路,仑头站点,118.2274892,24.68755908
183,差异化公交线路,仓里站点,118.1145701,24.43525003
184,岛内常规公交线路,仙岳路站点,118.1734594,24.50757917
185,岛内常规公交线路,仙洞山庄站点,118.1054068,24.5055567
186,跨区常规公交线路,仙阁里站点,118.1127019,24.4991376
187,岛内常规公交线路,会展中心公交场站站点,118.1780455,24.46948783
188,岛内常规公交线路,会展北公交场站站点,118.0675802,24.4667071
189,岛内常规公交线路,会展南五路站点,118.1745432,24.46391236
190,岛内常规公交线路,会展南路口站点,118.1782462,24.46675473
191,跨区常规公交线路,会展路站点,118.1748345,24.47030202
192,岛内常规公交线路,体育东村站点,118.1066823,24.48971009
193,轨道交通线路,体育中心[地铁]站点,118.1028176,24.48737584
194,岛内常规公交线路,体育中心站点,118.1028176,24.48737584
195,岛内常规公交线路,体育中心西站点,118.0996789,24.48802686
196,岛内常规公交线路,体育路站点,118.1015032,24.49007375
197,岛内常规公交线路,体育路茶厂站点,118.0893995,24.48591493
198,轨道交通线路,何厝[地铁]站点,118.1332455,24.4949475
199,岛内常规公交线路,何厝小区站点,118.189219,24.48635047
200,跨区常规公交线路,何厝村口站点,118.1855686,24.48497994
201,跨区常规公交线路,何宅站点,118.2429962,24.73950232
202,岛内常规公交线路,佳丽花园站点,118.0965913,24.50673291
203,岛内常规公交线路,侯卿前站点,118.1482624,24.50148866
204,岛内常规公交线路,侯卿后站点,118.1524154,24.50165607
,,,,
,,,,
,,,,
208,跨区常规公交线路,光华里站点,118.0353199,24.55992743
209,跨区常规公交线路,光明路站点,118.0200729,24.56261633
210,岛内常规公交线路,光电一路口站点,118.1428824,24.53666685
211,岛内常规公交线路,光电二路站点,118.13723,24.53494559
212,跨区常规公交线路,兑山站点,118.0835168,24.60837959
213,跨区常规公交线路,全总休养中心站点,118.0564042,24.55886561
214,岛内常规公交线路,公交大厦站点,118.1084169,24.49407979
215,岛内常规公交线路,公园东路站点,118.0862336,24.46143157
216,岛内常规公交线路,公园东门站点,118.0881797,24.4644716
217,岛内常规公交线路,六中东渡校区站点,118.0827448,24.49796685
,,,,
219,岛内常规公交线路,兴园社区站点,118.1227572,24.51480756
220,跨区常规公交线路,兴店社区站点,118.1189091,24.69312141
,,,,
,,,,
223,漳州城际公交线路,兴港花园站点,118.0219045,24.48881358
224,岛内常规公交线路,兴湖花园站点,118.0918811,24.51710705
225,岛内常规公交线路,兴隆东里站点,118.1218126,24.51508953
226,岛内常规公交线路,兴隆路华荣路口站点,118.1035936,24.5113336
227,跨区常规公交线路,内厝站点,118.2723881,24.6667204
228,跨区常规公交线路,内厝车场站点,118.2723881,24.6667204
229,跨区常规公交线路,内垵村口站点,118.221847,24.6613843
230,跨区常规公交线路,内垵站点,118.221847,24.6613843
231,跨区常规公交线路,内官北站点,118.3146844,24.76393197
232,跨区常规公交线路,内官站点,118.3146844,24.76393197
233,跨区常规公交线路,内林站点,118.0791164,24.77187336
234,跨区常规公交线路,内田站点,118.2642397,24.66418738
235,跨区常规公交线路,内茂二里站点,118.0367321,24.57126398
236,跨区常规公交线路,内茂站点,118.0384743,24.57414814
237,漳州城际公交线路,农场加油站站点,118.1333369,24.49110606
238,漳州城际公交线路,农场场部站点,118.1333369,24.49110606
239,跨区常规公交线路,凤南站点,118.08783,24.6812447
240,跨区常规公交线路,凤山站点,117.9635421,24.5819102
241,岛内常规公交线路,凤屿路站点,118.1098467,24.47871034
242,跨区常规公交线路,凤林站点,118.1035644,24.59599328
243,跨区常规公交线路,凤湖路口站点,118.0894119,24.50869724
244,跨区常规公交线路,凤祥站点,118.133803,24.72726754
245,岛内常规公交线路,凯兴路站点,118.1161241,24.50874989
246,跨区常规公交线路,刘山村站点,118.036594,24.49323162
247,跨区常规公交线路,创业园站点,118.1257161,24.52028278
248,岛内常规公交线路,创新二路口站点,118.1199299,24.52332251
249,跨区常规公交线路,前场市头站点,118.2476687,24.6458432
250,跨区常规公交线路,前场站点,118.0126433,24.5797478
251,岛内常规公交线路,前埔二里站点,118.1682145,24.47575551
252,差异化公交线路,前埔公交场站站点,118.0675802,24.4667071
253,岛内常规公交线路,前埔北区站点,118.1670436,24.47613936
254,跨区常规公交线路,前埔医院站点,118.1681046,24.47123654
255,差异化公交线路,前埔南区站点,118.1677507,24.47050675
256,岛内常规公交线路,前埔村站点,118.1711121,24.4717973
257,岛内常规公交线路,前埔路岭兜站点,118.1662105,24.4761978
258,岛内常规公交线路,前田站点,118.116033,24.43819693
259,跨区常规公交线路,前进村站点,118.0265162,24.64039341
260,岛内常规公交线路,北大生物园站点,118.1413204,24.48711578
261,跨区常规公交线路,北市站点,117.9838791,24.47287984
262,跨区常规公交线路,北师大附校站点,118.0293922,24.46123508
263,跨区常规公交线路,北师大附校西站点,118.0293922,24.46123508
,,,,
,,,,
,,,,
267,岛内常规公交线路,华东花园站点,118.1149445,24.5070986
268,差异化公交线路,华侨博物院站点,118.0850457,24.44471583
269,定制公交线路,华侨大学站点,118.0795753,24.60642856
270,岛内常规公交线路,华光西路口站点,118.1058483,24.51865064
271,岛内常规公交线路,华光路站点,118.1075343,24.51665735
272,跨区常规公交线路,华兴学校站点,118.0786721,24.69549134
273,跨区常规公交线路,华大艺术街站点,118.0741249,24.60871564
,,,,
275,跨区常规公交线路,华昌站点,118.0949498,24.51399069
276,岛内常规公交线路,华昌西路口站点,118.090912,24.51366069
277,岛内常规公交线路,华景站点,118.1061523,24.50972465
,,,,
279,岛内常规公交线路,华林花园站点,118.1656261,24.47489148
280,跨区常规公交线路,华泰站点,118.0996229,24.51410053
281,岛内常规公交线路,华泰路站点,118.10057,24.51020831
282,岛内常规公交线路,华盛路口站点,118.0959176,24.5110634
283,岛内常规公交线路,华美站点,118.0929457,24.51606589
284,岛内常规公交线路,华荣站点,118.1013173,24.51419207
285,轨道交通线路,华荣路[地铁]站点,118.1035514,24.51343686
286,跨区常规公交线路,南尾井站点,118.0833644,24.61409487
287,跨区常规公交线路,南山公寓站点,118.0983046,24.50484497
288,岛内常规公交线路,南山小区站点,118.0946922,24.50629065
289,岛内常规公交线路,南山西路站点,118.0892881,24.50558884
290,跨区常规公交线路,南海二路口站点,117.9933943,24.48406092
291,跨区常规公交线路,南湖公园东门站点,118.1038179,24.48199242
292,岛内常规公交线路,南湖花园站点,118.10406,24.48419889
293,漳州城际公交线路,南炮台公园站点,118.0806685,24.46334132
294,岛内常规公交线路,博士山庄站点,118.1076278,24.51128971
295,岛内常规公交线路,卢厝村站点,118.1444092,24.5177112
296,岛内常规公交线路,卧龙晓城站点,118.1357257,24.48072197
297,跨区常规公交线路,卧龙西路口站点,118.1336303,24.48078087
298,跨区常规公交线路,印斗路口站点,118.0987703,24.58351294
299,跨区常规公交线路,厦大(南普陀)站点,118.1045781,24.43375794
300,漳州城际公交线路,厦大中门(漳州校区)站点,118.1045781,24.43375794
301,漳州城际公交线路,厦大北门(漳州校区)站点,118.1045781,24.43375794
302,差异化公交线路,厦大医院站点,118.0861433,24.43794411
303,漳州城际公交线路,厦大南门(漳州校区)站点,118.1045781,24.43375794
304,空港快线,厦大学生公寓站点,118.1112802,24.4418337
305,岛内常规公交线路,厦大白城站点,118.0974681,24.43486178
306,跨区常规公交线路,厦大翔安医院北站点,118.2590943,24.59027189
307,跨区常规公交线路,厦大翔安校区南门站点,118.305102,24.61147865
308,跨区常规公交线路,厦大翔安校区站点,118.305102,24.61147865
309,岛内常规公交线路,厦大艺术学院站点,118.1049695,24.43379314
310,差异化公交线路,厦大西村站点,118.0880864,24.44130126
,,,,
312,空港快线,厦大附中(漳州校区)站点,118.0919256,24.44076161
313,跨区常规公交线路,厦工桥箱站点,117.9856115,24.59639714
314,跨区常规公交线路,厦工重工站点,117.9980647,24.60074259
315,跨区常规公交线路,厦心医院北门站点,118.1683062,24.51186505
316,跨区常规公交线路,厦心医院站点,118.1683062,24.51186505
317,跨区常规公交线路,厦港公交场站站点,118.0675802,24.4667071
318,漳州城际公交线路,厦漳油画城(五恩宫)站点,118.0273742,24.4995795
,,,,
320,岛内常规公交线路,厦航大厦站点,118.1312313,24.53872916
321,空港快线,厦门北站(空港快线站)站点,118.1442919,24.54706827
322,轨道交通线路,厦门北站[地铁]站点,118.0690297,24.63877235
323,跨区常规公交线路,厦门北站站点,118.0690297,24.63877235
324,定制公交线路,厦门医学院北门站点,118.1138421,24.47652305
325,跨区常规公交线路,厦门卷烟厂站点,117.9899679,24.52800534
326,跨区常规公交线路,厦门古玩城站点,118.081806,24.49584099
327,岛内常规公交线路,厦门国际友好公园站点,118.1823675,24.47677293
328,跨区常规公交线路,厦门实验中学站点,118.1606051,24.64919261
329,差异化公交线路,厦门宾馆站点,118.0885092,24.45926459
330,跨区常规公交线路,厦门工学院南门站点,118.063482,24.61726556
331,跨区常规公交线路,厦门工学院站点,118.0655697,24.62210603
332,漳州城际公交线路,厦门湾一号站点,118.0728119,24.45217007
333,轨道交通线路,厦门火车站[地铁]站点,118.1112251,24.47020891
334,跨区常规公交线路,厦门电厂站点,118.0279919,24.56762937
335,跨区常规公交线路,厦门老年大学站点,118.0806552,24.46673493
